候補者氏名,新人,当選回数,当選した場合に力を入れたい政策1,当選した場合に力を入れたい政策理由1,当選した場合に力を入れたい政策2,当選した場合に力を入れたい政策理由2,出展
堀川　ひでき,1,0,地域の防災・減災,消防団の活動経験を生かして生活の基盤を守りたい,人口減少、少子化対策,人口、世帯数を少しでも増やし、市内人口の西高東低を抑えたい,https://www.fukuishimbun.co.jp/articles/-/1811101
くわばら　ひでまさ,1,0,教育関係の見直し,労働環境、カリキュラム、部活など。パソコン講師として見てきた学校内の問題より,継続できる農業への支援,後継者問題や輸入に頼っている現状より,https://www.fukuishimbun.co.jp/articles/-/1811101
たまむら　哲雄,0,8,ＪＲ鯖江駅中心のまちづくり,１００年に一度のチャンスをとらえ、県とタイアップして挑戦,未来の鯖江につなぐ人材、後継者育成,鯖江の未来のために経験と人材を生かす,https://www.fukuishimbun.co.jp/articles/-/1811101
そら　美英,0,2,動物愛護を通した命の大切さ,命の大切さを知ることにより、いじめ問題に取り組む,防犯に対する市民の意識の向上,プライバシーと防犯の両立を行政が方向づける,https://www.fukuishimbun.co.jp/articles/-/1811101
田中　よしゆき,1,0,西山公園の収益化に向けた施策展開,時代が移っても多くの人を集める公園を空から眺める仕組みで収益化したい,机上の計画から実践的な防災体制に,発災時に本当に集まることができる人たちによる体制を基本にする,https://www.fukuishimbun.co.jp/articles/-/1811101
かえりやま　明朗,0,4,人口減少、少子高齢化への対策,実現のため子育て支援や教育と高齢者福祉向上は喫緊,物価高騰対策・地域経済活性化,電気や食料品などの物価高騰下、市民生活を支援し守る,https://www.fukuishimbun.co.jp/articles/-/1811101
えんどう　隆,0,4,災害に負けない、まちづくり,災害時に高齢者らを守る個別避難計画の重要性,子育てに安心の街、鯖江市の構築,少子化対策は国や街の衰退を防ぐ,https://www.fukuishimbun.co.jp/articles/-/1811101
おやなぎ　茂臣,1,0,物価高騰から市民を守る施策,住民福祉こそ市の仕事。生活苦の庶民応援が今こそ必要,学校給食費、国保子ども均等割ゼロ,子育て環境の整備こそ少子化克服の大事な課題,https://www.fukuishimbun.co.jp/articles/-/1811101
かとう　優,1,0,地域包括ケアシステム構築の加速,医療・介護の個人、家族の負担軽減,防災・減災対策の推進,自主防災組織の強化,https://www.fukuishimbun.co.jp/articles/-/1811101
酒井　ゆきこ,1,0,子育てしやすいまちづくり,子育てしやすいまちには人が集まり、地域が活性化する,みんなが健康を維持できるまちに,高齢化が進む中、元気に生きがいを持てる仕組みが大切,https://www.fukuishimbun.co.jp/articles/-/1811101
木村　愛子,0,5,誰もが夢の広がる居場所＆暮らし,障害者、ひきこもり、不登校などの重層的支援が必要,子ども政策、地場産業対策、過疎対策,鯖江市の政策、施策が現状十分でない,https://www.fukuishimbun.co.jp/articles/-/1811101
三村　尚司,1,0,子育て支援の充実,学童保育の充実、児童厚生員の人員確保・待遇改善,災害に強いまちづくり,気候変動に伴う洪水の頻発化が予想される,https://www.fukuishimbun.co.jp/articles/-/1811101
すいづ　達夫,0,6,鯖江駅東口等整備を含む地域公共交通の充実,北陸新幹線敦賀開業や冠山峠道路などの開通を見据え,医療・介護・福祉の充実,安全、安心、元気なまちづくりを目指す,https://www.fukuishimbun.co.jp/articles/-/1811101
えばた　一高,0,1,子育て支援の充実,安心して子育てできる環境による人口減少対策,災害への備え,市民の生命財産を守る根幹施策であるため,https://www.fukuishimbun.co.jp/articles/-/1811101
すなはた　まみ恵,1,0,和食推進とオーガニック給食導入,市民の健康と子どもたちの健やかな成長のため,オーガニックビレッジ宣言,農業を守り、環境を改善、教育移住を促進する,https://www.fukuishimbun.co.jp/articles/-/1811101
林　たいき,0,4,物価高騰対策、生活困窮者の支援,食料品、電気代の値上がりによる家計や零細事業者対策,鯖江駅東口の再開発、市街地活性化,特急列車廃止による中心市街地の停滞、人口減少対策,https://www.fukuishimbun.co.jp/articles/-/1811101
土田　光,1,0,議員定数、議員報酬の２割削減,徹底した行政、議会改革で豊かな鯖江を実現できる,給食費無償化、子育て支援の充実,１０年後、２０年後も豊かな鯖江を目指したい,https://www.fukuishimbun.co.jp/articles/-/1811101
山本　としお,0,3,開かれた議会、市民と議会が協働,迅速に課題解決を図るには議会と市民の情報共有が不可欠,地場産業振興のための支援,高速交通網完成間近、地場産業・観光ＰＲは絶好の機会,https://www.fukuishimbun.co.jp/articles/-/1811101
佐々木　かずや,0,3,防災・減災対策,災害に強い安心・安全なまちづくり,少子化・人口減少社会への対策,未来を担う次世代の育成,https://www.fukuishimbun.co.jp/articles/-/1811101
いしかわ　修,0,4,経済産業支援,コロナ禍からの復興・復活と物価高騰対策,治水対策,激甚化する災害対策として河川整備を強力に進める,https://www.fukuishimbun.co.jp/articles/-/1811101
西野　ゆか,1,0,こどもが安心して育つまち,こどもは鯖江の未来。働き方や福祉の発展などにも関係,コミュニティを育てやすいまち,サポート充実で孤立を防ぎ、防災や市民活動の活性に寄与,https://www.fukuishimbun.co.jp/articles/-/1811101
すえもと　幸夫,0,6,子育てしやすい街づくり,人口減少に歯止めをかける,高齢者にやさしい街づくり,元気で長生きするための専門アドバイザー派遣に協力,https://www.fukuishimbun.co.jp/articles/-/1811101
大門　よしかず,0,2,高齢者、子育て世代の暮らしやすさ,後期高齢者の増加や若年人口減少に対応する,地場産業、農業支援、企業誘致,若者に魅力ある職場を創らなければ地域が衰退する,https://www.fukuishimbun.co.jp/articles/-/1811101
林下　とよひこ,0,1,福祉、教育環境の充実,障害のある子どもや家族の負担が大きく問題があるから,子育て環境の充実,保育園など環境や体制が不十分と感じる,https://www.fukuishimbun.co.jp/articles/-/1811101
東井　ただよし,1,0,議会改革,議員がよく勉強し政策提言や議論することが必要,デマンド交通など公共交通の充実,田舎では公共交通が不便である,https://www.fukuishimbun.co.jp/articles/-/1811101
福原　としひろ,0,3,公共施設管理計画の実行性,施設の老朽化で長寿命化、統廃合の計画的な実行が必要,少子化問題と社会保障,産み育てやすく住みよい環境づくりと老老介護、ヤングケアラー対策,https://www.fukuishimbun.co.jp/articles/-/1811101
