候補者氏名,22:00,22:30,23:00,23:35,得票数
堀川　ひでき,100,500,900,1344,1344
くわばら　ひでまさ,100,100,100,151,151
たまむら　哲雄,100,500,600,913,913
そら　美英,100,500,600,806,806
田中　よしゆき,100,500,600,858,858
かえりやま　明朗,100,500,900,1227,1227
えんどう　隆,100,500,900,1280,1280
おやなぎ　茂臣,100,500,600,688,688
かとう　優,100,500,900,1252,1252
酒井　ゆきこ,100,500,900,2340,2340
木村　愛子,100,500,900,1164,1164
三村　尚司,100,500,900,1406,1406
すいづ　達夫,100,500,600,786,786
えばた　一高,100,500,600,872,872
すなはた　まみ恵,100,400,400,462,462
林　たいき,100,500,600,732,732
土田　光,100,500,900,1167,1167
山本　としお,100,500,600,731,731
佐々木　かずや,100,500,900,1520,1520
いしかわ　修,100,500,900,1183,1183
西野　ゆか,100,500,900,2047,2047
すえもと　幸夫,100,500,600,892,892
大門　よしかず,100,500,600,876,876
林下　とよひこ,100,500,900,932,932
東井　ただよし,100,500,900,1107,1107
福原　としひろ,100,500,900,1322,1322
(無効投票数),,,,,275
(投票者数),,,,,28333
(棄権者数),,,,,27385
(有権者数),,,,,55718
