候補者氏名,選挙公報位置,選挙公報URL,出展
堀川　ひでき,5-2,https://senkyo.sabae.cc/sabae-candidates-2023/senkyokoho/0005_2.png,https://www.city.sabae.fukui.jp/about_city/senkyo/Senkyokoho.html
くわばら　ひでまさ,1-2,https://senkyo.sabae.cc/sabae-candidates-2023/senkyokoho/0001_2.png,https://www.city.sabae.fukui.jp/about_city/senkyo/Senkyokoho.html
たまむら　哲雄,2-2,https://senkyo.sabae.cc/sabae-candidates-2023/senkyokoho/0002_2.png,https://www.city.sabae.fukui.jp/about_city/senkyo/Senkyokoho.html
そら　美英,3-2,https://senkyo.sabae.cc/sabae-candidates-2023/senkyokoho/0003_2.png,https://www.city.sabae.fukui.jp/about_city/senkyo/Senkyokoho.html
田中　よしゆき,3-4,https://senkyo.sabae.cc/sabae-candidates-2023/senkyokoho/0003_4.png,https://www.city.sabae.fukui.jp/about_city/senkyo/Senkyokoho.html
かえりやま　明朗,7-1,https://senkyo.sabae.cc/sabae-candidates-2023/senkyokoho/0007_1.png,https://www.city.sabae.fukui.jp/about_city/senkyo/Senkyokoho.html
えんどう　隆,3-3,https://senkyo.sabae.cc/sabae-candidates-2023/senkyokoho/0003_3.png,https://www.city.sabae.fukui.jp/about_city/senkyo/Senkyokoho.html
おやなぎ　茂臣,5-3,https://senkyo.sabae.cc/sabae-candidates-2023/senkyokoho/0005_3.png,https://www.city.sabae.fukui.jp/about_city/senkyo/Senkyokoho.html
かとう　優,1-4,https://senkyo.sabae.cc/sabae-candidates-2023/senkyokoho/0001_4.png,https://www.city.sabae.fukui.jp/about_city/senkyo/Senkyokoho.html
酒井　ゆきこ,4-3,https://senkyo.sabae.cc/sabae-candidates-2023/senkyokoho/0004_3.png,https://www.city.sabae.fukui.jp/about_city/senkyo/Senkyokoho.html
木村　愛子,6-3,https://senkyo.sabae.cc/sabae-candidates-2023/senkyokoho/0006_3.png,https://www.city.sabae.fukui.jp/about_city/senkyo/Senkyokoho.html
三村　尚司,1-3,https://senkyo.sabae.cc/sabae-candidates-2023/senkyokoho/0001_3.png,https://www.city.sabae.fukui.jp/about_city/senkyo/Senkyokoho.html
すいづ　達夫,7-2,https://senkyo.sabae.cc/sabae-candidates-2023/senkyokoho/0007_2.png,https://www.city.sabae.fukui.jp/about_city/senkyo/Senkyokoho.html
えばた　一高,6-2,https://senkyo.sabae.cc/sabae-candidates-2023/senkyokoho/0006_2.png,https://www.city.sabae.fukui.jp/about_city/senkyo/Senkyokoho.html
すなはた　まみ恵,4-1,https://senkyo.sabae.cc/sabae-candidates-2023/senkyokoho/0004_1.png,https://www.city.sabae.fukui.jp/about_city/senkyo/Senkyokoho.html
林　たいき,2-3,https://senkyo.sabae.cc/sabae-candidates-2023/senkyokoho/0002_3.png,https://www.city.sabae.fukui.jp/about_city/senkyo/Senkyokoho.html
土田　光,6-1,https://senkyo.sabae.cc/sabae-candidates-2023/senkyokoho/0006_1.png,https://www.city.sabae.fukui.jp/about_city/senkyo/Senkyokoho.html
山本　としお,5-1,https://senkyo.sabae.cc/sabae-candidates-2023/senkyokoho/0005_1.png,https://www.city.sabae.fukui.jp/about_city/senkyo/Senkyokoho.html
佐々木　かずや,4-4,https://senkyo.sabae.cc/sabae-candidates-2023/senkyokoho/0004_4.png,https://www.city.sabae.fukui.jp/about_city/senkyo/Senkyokoho.html
いしかわ　修,4-2,https://senkyo.sabae.cc/sabae-candidates-2023/senkyokoho/0004_2.png,https://www.city.sabae.fukui.jp/about_city/senkyo/Senkyokoho.html
西野　ゆか,5-4,https://senkyo.sabae.cc/sabae-candidates-2023/senkyokoho/0005_4.png,https://www.city.sabae.fukui.jp/about_city/senkyo/Senkyokoho.html
すえもと　幸夫,2-1,https://senkyo.sabae.cc/sabae-candidates-2023/senkyokoho/0002_1.png,https://www.city.sabae.fukui.jp/about_city/senkyo/Senkyokoho.html
大門　よしかず,3-1,https://senkyo.sabae.cc/sabae-candidates-2023/senkyokoho/0003_1.png,https://www.city.sabae.fukui.jp/about_city/senkyo/Senkyokoho.html
林下　とよひこ,6-4,https://senkyo.sabae.cc/sabae-candidates-2023/senkyokoho/0006_4.png,https://www.city.sabae.fukui.jp/about_city/senkyo/Senkyokoho.html
東井　ただよし,2-4,https://senkyo.sabae.cc/sabae-candidates-2023/senkyokoho/0002_4.png,https://www.city.sabae.fukui.jp/about_city/senkyo/Senkyokoho.html
福原　としひろ,1-1,https://senkyo.sabae.cc/sabae-candidates-2023/senkyokoho/0001_1.png,https://www.city.sabae.fukui.jp/about_city/senkyo/Senkyokoho.html
